# Time (s), V_L (m^3), BOG (kg/s), Tv_avg (K), Q_V (W), BL (kg/s)
9.720000000000000000e+03, 1.888610524928396959e-03, 1.516822065810389004e-07, 2.399813580511270175e+02, 1.484980438669471492e-01, 1.505951935307502805e-07
9.780000000000000000e+03, 1.888685256099296907e-03, 1.516813733490606066e-07, 2.399813405686055319e+02, 1.484958057274643473e-01, 1.505944255287812399e-07
9.840000000000000000e+03, 1.888759987264598253e-03, 1.516808021806954639e-07, 2.399813232277977590e+02, 1.484935672250122796e-01, 1.505936818414335955e-07
9.900000000000000000e+03, 1.888834718424459071e-03, 1.516802002370461969e-07, 2.399813067704070875e+02, 1.484913264662042209e-01, 1.505930685604690080e-07
9.960000000000000000e+03, 1.888909449583523869e-03, 1.516789606182396123e-07, 2.399812894962227290e+02, 1.484890877911835549e-01, 1.505923416301980141e-07
1.002000000000000000e+04, 1.888984180736819410e-03, 1.516779207235543811e-07, 2.399812699896350239e+02, 1.484868548136216160e-01, 1.505912978086495371e-07
1.008000000000000000e+04, 1.889058911889490234e-03, 1.516769236538408000e-07, 2.399812527378888944e+02, 1.484846160787199609e-01, 1.505905803564709440e-07
1.014000000000000000e+04, 1.889133643043734235e-03, 1.516756682947873985e-07, 2.399812315675188188e+02, 1.484823873451489307e-01, 1.505893037639999088e-07
1.020000000000000000e+04, 1.889208374191322752e-03, 1.516850455554184848e-07, 2.399812144409923462e+02, 1.484801482879082035e-01, 1.505886097098297932e-07
1.026000000000000000e+04, 1.889283105357260741e-03, 1.516929750596922870e-07, 2.399812531558167450e+02, 1.484777666917559136e-01, 1.505959264328677209e-07
1.032000000000000000e+04, 1.889357836493524116e-03, 1.516846271376503928e-07, 2.399812396750774610e+02, 1.484755183285074720e-01, 1.505957601036351795e-07
1.038000000000000000e+04, 1.889432567680194653e-03, 1.516849134315060591e-07, 2.399812297374081993e+02, 1.484732609191287966e-01, 1.505961040581014978e-07
1.044000000000000000e+04, 1.889507298810636513e-03, 1.516839879478582463e-07, 2.399812159133514626e+02, 1.484710134303705853e-01, 1.505958926504804732e-07
1.050000000000000000e+04, 1.889582029939197282e-03, 1.516838172786463853e-07, 2.399812017310286478e+02, 1.484687668550152551e-01, 1.505956317268256500e-07
1.056000000000000000e+04, 1.889656761061840043e-03, 1.516837774561703699e-07, 2.399811884431481701e+02, 1.484665179958076231e-01, 1.505955008264839744e-07
1.062000000000000000e+04, 1.889731492182715770e-03, 1.516837036695285423e-07, 2.399811748019386926e+02, 1.484642700374124713e-01, 1.505953208751934598e-07
